Title,Genre,Runtime,Rating
The Bourne Identity,"Action, Adventure, Drama",185,6.8
Bum Rap,"Comedy, Drama",117,7.8
The Carrier,"Drama, Horror, Thriller",99,5.7
The Child Saver,Drama,105,7.0
Blood Money,"Action, Crime, Thriller",110,4.9
Cool Blue,"Comedy, Romance, Thriller",93,4.6
The Diary of a Big Man,"Comedy, Romance",86,6.7
Dead Ringers,"Drama, Horror, Thriller",116,7.2
"Dekalog, siedem",Drama,57,7.8
Die Hard,"Action, Thriller",132,8.2
Divided We Stand,Drama,60,5.5
Drawing Lesson #2,"Animation, Comedy, Short",6,6.5
Einstweilen wird es Mittag oder Die Arbeitslosen von Marienthal,,95,6.2
Die erste Reihe,"Drama, History",110,
Familienschande,"Crime, Drama",135,7.5
Filou,Drama,91,5.1
A Friendship in Vienna,"Drama, History",100,6.7
Georgette Meunier,"Crime, Drama",80,5.3
Goddess of Love,"Comedy, Fantasy",100,3.1
Greshnik,Comedy,83,6.3
Hard Rock Nightmare,Horror,87,4.6
High Spirits,"Comedy, Fantasy",99,5.7
Hot to Trot,"Comedy, Fantasy",83,4.4
Ich melde einen Selbstmord,"Crime, Drama",92,
Internal Affairs,"Crime, Drama, Thriller",200,6.5
Keep on Dancing,Comedy,89,5.2
Jungfruresan,Drama,106,3.0
Kikuchi Eri: kyonyû-zeme,Drama,68,
The End of the World,Drama,57,7.0
Last Platoon,"Action, War",80,4.3
Let's Get Lost,"Documentary, Biography, Music",120,7.8
Loco veneno,Comedy,95,5.9
Mad About You,Comedy,92,5.8
Marattam,,90,8.8
Before the Bat's Flight Is Done,"Drama, Thriller",91,7.1
Moonwalker,"Action, Crime, Fantasy",93,6.1
Murder One,"Biography, Crime, Drama",82,5.4
Nadie nada nunca,,90,
A New Life,Comedy,104,5.8
No Crying He Makes,"Crime, Drama, Mystery",75,6.1
The Eye Above the Well,Documentary,94,7.5
Paganini Horror,"Horror, Music",82,4.3
Obsession: A Taste for Fear,"Horror, Mystery, Sci-Fi",89,4.8
Perry Mason: The Case of the Lady in the Lake,"Crime, Drama, Mystery",95,6.8
El poder de la venganza,Action,88,4.5
Primiti Too Taa,"Documentary, Animation, Short",6,7.6
Il caso Pupetta Maresca,Documentary,60,
The Raggedy Rawney,"Drama, Romance, War",103,6.3
